configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
cohesion_calibrated,nq_150,cohesion,add,0.24793099987618916,5.718037830502433,5.726093329100149,0.00805549859771646
cohesion_calibrated,nq_151,baseline,replace,0.1578940000399598,0.0,6.111834998451561,6.111834998451561
cohesion_calibrated,nq_151,cohesion,add,0.23034900004859082,6.111834998451561,6.122325244683106,0.010490246231544731
cohesion_calibrated,nq_152,baseline,replace,0.14756100017621065,0.0,5.30246690110213,5.30246690110213
cohesion_calibrated,nq_152,cohesion,add,0.2335760000278242,5.30246690110213,5.4350913184867355,0.1326244173846063
cohesion_calibrated,nq_153,baseline,replace,0.14803799990659172,0.0,5.2407988062402895,5.2407988062402895
cohesion_calibrated,nq_153,cohesion,add,0.21778500013169833,5.2407988062402895,5.25341758533975,0.012618779099460702
cohesion_calibrated,nq_154,baseline,replace,0.1461619999645336,0.0,6.476711322296539,6.476711322296539
cohesion_calibrated,nq_154,cohesion,add,0.23375599994324148,6.476711322296539,6.478447472121063,0.0017361498245246452
cohesion_calibrated,nq_155,baseline,replace,0.15260100008163135,0.0,5.487365035096405,5.487365035096405
cohesion_calibrated,nq_155,cohesion,add,0.21964500001558918,5.487365035096405,5.4900203317319685,0.0026552966355627775
cohesion_calibrated,nq_156,baseline,replace,0.1512440001079085,0.0,6.469584973544875,6.469584973544875
cohesion_calibrated,nq_156,cohesion,add,0.21857299998373492,6.469584973544875,6.480808643936972,0.01122367039209596
cohesion_calibrated,nq_157,baseline,replace,0.1461110000491317,0.0,5.676801570681361,5.676801570681361
cohesion_calibrated,nq_157,cohesion,add,0.2331409998532763,5.676801570681361,5.694235208398248,0.017433637716887208
cohesion_calibrated,nq_158,baseline,replace,0.1496049999332172,0.0,5.166572129769004,5.166572129769004
cohesion_calibrated,nq_158,cohesion,add,0.25374400001965114,5.166572129769004,5.1724796132060415,0.005907483437037467
cohesion_calibrated,nq_159,baseline,replace,0.15193600006568886,0.0,5.44592691157194,5.44592691157194
cohesion_calibrated,nq_159,cohesion,add,0.2226879998943332,5.44592691157194,5.460135510971074,0.014208599399134271
cohesion_calibrated,nq_160,baseline,replace,0.14446099999076978,0.0,5.702814282537779,5.702814282537779
cohesion_calibrated,nq_160,cohesion,add,0.23082100005922257,5.702814282537779,5.711354390208461,0.008540107670681682
cohesion_calibrated,nq_161,baseline,replace,0.14730299994880625,0.0,6.234747414769542,6.234747414769542
cohesion_calibrated,nq_161,cohesion,add,0.22092299991527398,6.234747414769542,6.234986515144214,0.0002391003746715071
